x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,y
8.8,0.27,0.39,2,0.1,20,27,0.99546,3.15,0.69,11.2,1
7,0.42,0.35,1.6,0.088,16,39,0.9961,3.34,0.55,9.2,0
6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,0
11.8,0.33,0.49,3.4,0.093,54,80,1.0002,3.3,0.76,10.7,1
9.9,0.27,0.49,5,0.082,9,17,0.99484,3.19,0.52,12.5,1
8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,0
6.5,0.53,0.06,2,0.063,29,44,0.99489,3.38,0.83,10.3,1
9.4,0.4,0.47,2.5,0.087,6,20,0.99772,3.15,0.5,10.5,0
8.3,0.56,0.22,2.4,0.082,10,86,0.9983,3.37,0.62,9.5,0
8,0.6,0.22,2.1,0.08,25,105,0.99613,3.3,0.49,9.9,0
7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,1
8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,1
8.9,0.61,0.49,2,0.27,23,110,0.9972,3.12,1.02,9.3,0
10.6,0.36,0.6,2.2,0.152,7,18,0.9986,3.04,1.06,9.4,0
9.7,0.66,0.34,2.6,0.094,12,88,0.99796,3.26,0.66,10.1,0
7.2,0.34,0.24,2,0.071,30,52,0.99576,3.44,0.58,10.1,0
8.3,0.28,0.48,2.1,0.093,6,12,0.99408,3.26,0.62,12.4,1
12,0.39,0.66,3,0.093,12,30,0.9996,3.18,0.63,10.8,1
6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,1
9,0.69,0,2.4,0.088,19,38,0.999,3.35,0.6,9.3,0
10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,1
8.8,0.45,0.43,1.4,0.076,12,21,0.99551,3.21,0.75,10.2,1
10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,1
6.1,0.21,0.4,1.4,0.066,40.5,165,0.9912,3.25,0.59,11.9,1
8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,0
7.6,1.58,0,2.1,0.137,5,9,0.99476,3.5,0.4,10.9,0
7.4,0.49,0.19,3,0.077,16,37,0.9966,3.37,0.51,10.5,0
15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,0
7.8,0.64,0.1,6,0.115,5,11,0.9984,3.37,0.69,10.1,1
9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,0
9.1,0.47,0.49,2.6,0.094,38,106,0.9982,3.08,0.59,9.1,0
8,0.45,0.23,2.2,0.094,16,29,0.9962,3.21,0.49,10.2,1
11.2,0.4,0.5,2,0.099,19,50,0.99783,3.1,0.58,10.4,0
10.2,0.4,0.4,2.5,0.068,41,54,0.99754,3.38,0.86,10.5,1
6.1,0.56,0,2.2,0.079,6,9,0.9948,3.59,0.54,11.5,1
7.4,0.29,0.38,1.7,0.062,9,30,0.9968,3.41,0.53,9.5,1
7.6,0.5,0.29,2.3,0.086,5,14,0.99502,3.32,0.62,11.5,1
10.7,0.4,0.37,1.9,0.081,17,29,0.99674,3.12,0.65,11.2,1
11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,1
8.2,0.78,0,2.2,0.089,13,26,0.9978,3.37,0.46,9.6,0
5.8,0.29,0.26,1.7,0.063,3,11,0.9915,3.39,0.54,13.5,1
9.8,0.88,0.25,2.5,0.104,35,155,1.001,3.41,0.67,11.2,0
11,0.2,0.48,2,0.343,6,18,0.9979,3.3,0.71,10.5,0
9.5,0.46,0.49,6.3,0.064,5,17,0.9988,3.21,0.73,11,1
7.1,0.875,0.05,5.7,0.082,3,14,0.99808,3.4,0.52,10.2,0
